gen,child,eps,Rg,err
3,12,[2.316922 0.651291 0.282505 1.802581 1.532744 0.473470 0.855163 1.969646 1.027008 0.119503 1.482314 1.697180 1.612333 1.505258 1.764340],16.658755,19.341245
4,1,[2.844407 0.529876 2.076004 2.500478 1.661329 0.891491 1.797801 0.952438 1.044216 0.549474 3.608987 1.480163 0.408461 2.094646 2.844407],20.262448,15.737552
4,2,[2.755975 1.194073 1.261711 1.614006 1.111138 1.233509 0.145793 0.753107 2.066922 0.191444 2.029159 2.235182 1.753346 1.445029 3.423279],19.820483,16.179517
4,3,[1.326960 1.069073 1.756931 2.439054 1.573375 0.502390 0.711520 1.527964 0.732075 0.119503 3.257648 1.514340 0.745220 1.958652 0.315249],24.788896,11.211104
4,4,[2.177103 1.509082 1.435468 3.448375 1.697897 0.349665 0.750717 1.635277 1.720841 0.489962 2.526291 0.119503 1.665153 0.520793 1.247132],21.886197,14.113803
4,5,[2.592495 2.469646 0.717495 2.239484 2.747132 0.316205 1.808795 1.609226 1.042304 1.117830 1.724426 0.516969 0.762428 1.539914 1.682839],24.203929,11.796071
4,6,[2.238050 0.737094 1.937141 1.773184 2.384799 1.583174 0.575765 0.759560 2.499283 0.185468 4.479685 2.213671 0.131453 0.517447 1.847753],25.724730,10.275270
4,7,[2.118308 2.192639 0.977294 1.522467 1.898423 1.025335 0.761472 1.482075 0.231119 0.131453 3.012906 2.096080 0.702677 2.191444 1.170172],23.000077,12.999923
4,8,[3.448375 0.752151 2.319073 0.995220 2.330067 1.195985 1.409417 1.878585 2.969407 1.885038 2.623566 1.365201 1.021033 1.577677 2.442400],19.336887,16.663113
4,9,[1.935946 1.051625 1.374283 1.655354 1.451721 0.341539 0.770793 1.266013 1.272945 1.630497 2.601816 1.676864 0.246654 0.279637 1.477055],22.205451,13.794549
4,10,[2.700765 0.865201 0.916109 3.187380 1.900335 0.811185 0.519837 1.693595 1.326243 1.127151 2.461520 0.334130 1.135277 0.952438 2.162524],21.588467,14.411533
4,11,[3.187380 1.866874 1.276769 2.187620 1.913480 0.959608 0.326243 0.164436 1.935946 1.025813 1.610660 1.532027 1.846797 1.962715 2.576482],20.122053,15.877947
4,12,[2.238050 0.719646 0.119503 2.047801 2.108270 0.208652 1.280593 0.145793 1.526291 1.070029 3.716300 0.976338 1.492830 1.389818 2.483031],20.418620,15.581380
5,1,[2.650335 1.793499 1.897706 1.698853 1.814293 1.128346 1.119264 1.927581 0.814293 0.501195 3.575765 0.992352 0.125478 1.388623 1.978011],21.666795,14.333205
5,2,[2.173279 1.027008 1.184034 2.399379 1.675191 1.604446 0.316205 2.143881 1.423279 0.759560 3.693595 2.265057 1.486377 1.407027 1.496654],25.134935,10.865065
5,3,[0.804732 0.150574 1.126195 2.143881 2.461520 1.515057 1.081740 1.429971 0.395315 0.678776 3.792304 2.283222 0.131453 1.103728 0.839149],13.460750,22.539250
5,4,[1.964149 0.372610 1.152486 2.700765 2.291826 1.498566 0.793499 1.171128 1.750000 0.660851 3.315488 2.116157 0.968690 1.741396 1.395793],17.526758,18.473242
5,5,[1.742591 2.199570 2.747132 2.850621 1.728728 1.146750 0.574092 1.497371 0.249283 1.103967 4.363289 2.190727 0.464866 0.920172 1.371654],21.311670,14.688330
5,6,[2.530354 0.131453 2.401769 2.185468 1.878585 1.673279 0.119503 2.078872 2.117830 0.461759 4.122849 1.217017 0.119503 0.631692 0.501912],21.603044,14.396956
5,7,[1.385038 1.431166 2.398662 2.469646 2.530354 0.125478 0.875000 0.560707 1.746176 0.819790 3.792304 1.217495 0.692400 2.020793 1.701721],22.979586,13.020414
5,8,[2.541348 2.117830 1.475860 2.332218 1.579828 1.491874 1.087476 2.078872 0.846797 0.417782 2.324570 1.557361 0.131453 0.672562 1.028442],19.102027,16.897973
5,9,[1.955545 1.655354 2.505258 2.912763 2.518403 1.018642 0.387189 0.451721 1.643881 0.800669 4.122849 1.863050 0.460803 0.599426 1.670650],18.540118,17.459882
5,10,[2.322419 1.768403 1.140296 0.896989 1.635516 2.163958 1.402486 1.525574 1.655354 0.258126 2.782505 2.163480 0.477533 0.737094 0.789436],21.751884,14.248116
5,11,[1.921367 2.663002 2.453633 1.588671 2.888623 1.670650 2.415870 1.579828 1.028920 0.455545 2.945029 0.998805 1.185707 0.937620 1.325048],18.642859,17.357141
5,12,[1.835803 0.125478 0.657744 2.319790 1.782505 0.526291 1.240440 0.964149 1.880736 0.145793 3.423279 1.500000 0.198375 1.680927 1.082935],15.839808,20.160192
6,1,[3.187380 1.290153 2.005975 2.407505 2.329350 2.120459 0.991874 2.005258 2.747132 2.011472 3.361138 1.913480 0.446702 0.784417 1.724426],18.472669,17.527331
6,2,[1.727533 0.561663 1.748566 1.967973 2.207935 2.905593 0.277247 2.102533 1.239723 0.941683 3.792304 1.806883 1.445268 1.043021 2.517925],14.062379,21.937621
6,3,[1.567400 1.934990 1.052581 2.182600 1.864006 1.368308 1.046606 1.376195 2.535851 1.216061 4.035612 2.027008 1.056883 0.727294 1.679493],22.264121,13.735879
6,4,[1.267447 1.411807 1.888623 1.962715 2.253585 1.481119 0.694551 1.751912 0.253585 1.372610 3.154876 2.058795 0.285851 1.875239 0.587476],20.778485,15.221515
6,5,[1.459847 0.894359 0.753107 1.701721 2.945029 0.949570 1.561185 0.119503 1.876912 1.349187 2.915392 2.295411 1.208174 1.720841 0.939293],13.910441,22.089559
6,6,[2.267925 2.105163 1.252151 2.969407 2.247132 1.261711 0.195507 1.850382 1.839149 0.845602 4.168260 1.391969 1.793499 1.156549 0.870937],20.489255,15.510745
6,7,[2.298518 2.149618 2.315010 3.247371 2.772945 1.618547 0.326482 2.107553 1.883843 0.266969 1.969407 0.524857 0.967973 2.033700 0.928537],17.606363,18.393637
6,8,[0.523184 0.770793 1.786807 2.330067 2.193117 1.774857 0.119503 2.518403 0.526291 0.461281 3.575765 1.657266 0.119503 1.588671 0.486616],14.421908,21.578092
6,9,[2.613528 1.999044 1.127629 1.759082 0.228728 1.795172 1.057600 1.708652 1.187859 0.758365 3.081023 2.278442 0.960086 0.534895 0.969168],20.615590,15.384410
